name,model_size,buffer_type,acc_new,f1_new,precision_new,recall_new,acc_all,f1_all,precision_all,recall_all,acc_base,f1_base,precision_base,recall_base,training_time,buffer_length,buffer_memory
standalone_None+MLP,0.031315803527832,unlimit,0.8442857142857143,0.2504768605378361,0.2935606060606061,0.240922619047619,0.9668572984749456,0.5088939733122242,0.8179470595299553,0.3937825874724097,0.9362745098039216,0.6882406033046224,1.1691339326428245,0.5,2.094274580478668,2449.25,0.1868629455566406
multimodal_bert+bigru_resnet50+MLP_None+MLP_embedding+MLP,1318.949896812439,limit,0.8128571428571428,0.3707894351770558,0.375,0.4119940476190476,0.8681748466257668,0.5007663108774509,0.630176336340319,0.4823805655332666,0.838957055214724,0.5852209010516121,0.8460391732450556,0.4886363636363636,46.872505247592926,512.0,100.37109375
standalone_resnet50+MLP,275.47835063934326,unlimit,0.8342857142857143,0.1390257252326218,0.2755681818181818,0.1138392857142857,1.0856266149870804,0.468901978621601,0.6607142857142857,0.4358092483343534,0.9786821705426356,0.552609253844457,0.9417016806722688,0.4807692307692308,10.029526114463806,2449.25,19.26556968688965
multimodal_bert+bilstm_None+MLP,1041.6777772903442,remind,0.8271428571428572,0.3288764116228904,0.4806585677749361,0.3261755952380952,0.8887163561076603,0.4674002877231678,0.6786908041453495,0.4741602982882425,0.8664596273291925,0.5873570261437908,0.928549484309853,0.5535714285714286,41.18579572439194,512.0,48.08208465576172
standalone_pho+bilstm,1157.5094289779663,limit,0.8514285714285714,0.0355392156862745,0.2083333333333333,0.0197172619047619,1.0721906565656565,0.4580199192816859,0.5779901960784313,0.4370324802808585,0.981060606060606,0.7759754762235818,0.9401785714285714,0.75,110.06756860017776,512.0,37.52734375
multimodal_bert+bigru_resnet50+MLP,1221.1406345367432,limit,0.7785714285714286,0.3431789311919271,0.294692571579364,0.4335565476190476,0.8432651991614257,0.4576030711941836,0.4370468003170696,0.504533432297653,0.8380503144654088,0.6014990930145003,0.7174907345013478,0.5499999999999999,38.614099740982056,512.0,100.0546875
multimodal_bert+bilstm_resnet50+MLP_None+MLP_embedding+MLP,1322.957709312439,remind,0.8171428571428572,0.2726512078185507,0.3702741702741703,0.2769940476190476,0.9050747863247864,0.4565873431393921,0.7167594434336674,0.4058847779742205,0.8942307692307692,0.5937857263099342,1.1110456033328373,0.473404255319149,54.74633705615997,512.0,50.29312896728516
standalone_pho+bilstm,1157.5094289779663,no_buffer,0.6557142857142857,0.0815850815850815,0.0702380952380952,0.2738095238095238,0.8527777777777777,0.450736596027223,0.1942571428571428,1.5140845070422535,0.8106060606060606,0.6304794520547945,0.2765527950310558,1.575,27.7889364361763,0.0,0.0
multimodal_bert+bigru_resnet50+MLP,1221.1406345367432,unlimit,0.8,0.3309245335561125,0.301916221033868,0.4234672619047619,0.8695754716981132,0.4425131627297692,0.4663059168112366,0.4854597029170562,0.8396226415094339,0.5307042332270232,0.741494684177611,0.4875,38.30008310079575,2449.25,478.6307487487793
multimodal_bert+bigru_resnet50+MLP_None+MLP_embedding+MLP,1318.949896812439,no_buffer,0.7214285714285714,0.2460474308300395,0.1996428571428571,0.4389880952380952,0.7722903885480573,0.4056375401853582,0.5842653976961332,0.5765826384962738,0.7760736196319018,0.5305302186005012,0.7765860651445329,0.625,37.84905552864075,0.0,0.0
multimodal_bert+bigru_None+MLP,1037.6699647903442,no_buffer,0.812857142857143,0.1940456081081081,0.160011574074074,0.2859375,0.8992965367965368,0.3777271662545283,0.5124294476027467,0.428878100250581,0.8879870129870131,0.5272290953018028,0.7693047009871187,0.4939024390243902,23.19016343355179,0.0,0.0
standalone_resnet50+MLP,275.47835063934326,remind,0.8457142857142858,0.1552569052569052,0.4607843137254901,0.1047470238095238,1.0921511627906977,0.3736878477664445,0.8571428571428571,0.3171353579285088,0.9825581395348836,0.4303182109025079,1.2692307692307692,0.3461538461538461,10.742057144641876,512.0,2.0430221557617188
standalone_None+MLP,0.031315803527832,remind,0.8628571428571428,0.2055121892078414,0.4333333333333333,0.157172619047619,0.9559640522875816,0.3649295665669166,0.8601188532650493,0.2476806503498974,0.8905228758169935,0.4624301110120735,1.2056853756708408,0.3023255813953488,1.810170531272888,512.0,0.0390625
standalone_None+MLP,0.031315803527832,no_buffer,0.8128571428571428,0.1781206171107994,0.1460655737704917,0.2354910714285714,0.9269607843137256,0.3636920383859521,0.4180639697739561,0.378794870177292,0.8790849673202614,0.4505228794334089,0.5825356048314404,0.4186046511627907,1.2436107397079468,0.0,0.0
standalone_None+MLP,0.031315803527832,limit,0.862857142857143,0.2033730158730159,0.3422619047619047,0.1828869047619047,0.9499999999999998,0.3493385629711405,0.8100353892821031,0.2714025841829764,0.8790849673202614,0.4191149854514225,1.154963644011778,0.3081395348837209,2.097619414329529,512.0,0.0390625
multimodal_bert+bilstm_resnet50+MLP_None+MLP_embedding+MLP,1322.957709312439,no_buffer,0.8028571428571428,0.2241847826086956,0.2881944444444444,0.3556547619047619,0.8520299145299144,0.3218727934817282,0.4163647962409755,0.4143784627515873,0.8381410256410255,0.4218883299422096,0.5773752263467633,0.4468085106382979,108.63721466064452,0.0,0.0
standalone_resnet50+MLP,275.47835063934326,limit,0.8214285714285715,0.1108641358641358,0.2261904761904762,0.1088095238095238,1.0752906976744188,0.3214947236765848,0.6144067289749437,0.3028309248289933,0.9554263565891474,0.3100677321660399,0.684981684981685,0.2692307692307692,9.901971459388731,512.0,4.02734375
standalone_pho+bilstm,1157.5094289779663,remind,0.8528571428571429,0.0356280193236715,0.1458333333333333,0.0203125,1.0725378787878788,0.3126350152129818,0.6297743055555555,0.2809293719463857,0.952651515151515,0.4880466600316141,0.760267857142857,0.4499999999999999,114.3325416445732,512.0,18.79302215576172
